"Building_Class","Zoning_Class","Lot_Extent","Lot_Size","Road_Type","Lane_Type","Property_Shape","Land_Outline","Lot_Configuration","Property_Slope","Neighborhood","Condition1","Condition2","House_Type","House_Design","Overall_Material","House_Condition","Construction_Year","Roof_Design","Roof_Quality","Exterior1st","Exterior2nd","Brick_Veneer_Type","Brick_Veneer_Area","Exterior_Material","Exterior_Condition","Foundation_Type","Basement_Height","Basement_Condition","Exposure_Level","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtUnfSF","Total_Basement_Area","Heating_Type","Heating_Quality","Air_Conditioning","Electrical_System","First_Floor_Area","Second_Floor_Area","LowQualFinSF","Grade_Living_Area","Underground_Full_Bathroom","Underground_Half_Bathroom","Full_Bathroom_Above_Grade","Half_Bathroom_Above_Grade","Bedroom_Above_Grade","Kitchen_Quality","Rooms_Above_Grade","Functional_Rate","Fireplaces","Fireplace_Quality","Garage","Garage_Built_Year","Garage_Finish","Garage_Size","Garage_Quality","Pavedd_Drive","W_Deck_Area","Open_Lobby_Area","Enclosed_Lobby_Area","Three_Season_Lobby_Area","Screen_Lobby_Area","Pool_Area","Pool_Quality","Fence_Quality","Miscellaneous_Feature","Miscellaneous_Value","Month_Sold","Year_Sold","Sale_Type","Sale_Condition","Sale_Price"
120,"RHD",26,7061.265181,1,"None",1,"Lvl","FR2P",0,"NAmes","Norm","Norm","TwnhsE","1Story",7,5,1999,"Gable","SS","MetalSd","MetalSd",0,0,4,3,"PC",4,3,1,6,1051,4,354,1405,"GasA",5,1,"SBrkr",1337,0,0,1337,1,0,2,0,2,4,5,10,1,2,"Attchd",1999,3,2,3,2,203,68,0,0,0,0,0,"None","None",0,6,2010,"WD","Normal",186628.861166667
160,"RMD",21,12770.55343,1,"None",0,"Lvl","I",0,"BrDale","NoRMD","NoRMD","Twnhs","2Story",6,5,1971,"Gable","SS","HdBoard","HdBoard",1,504,3,3,"CB",3,3,1,3,156,1,327,483,"GasA",3,1,"SBrkr",483,504,0,987,0,0,1,1,2,3,5,10,0,0,"Detchd",1971,1,1,3,2,275,0,0,0,0,0,0,"None","None",0,2,2010,"COD","NoRMDal",100162.298333333
160,"RMD",21,6518.142287,1,"None",0,"Lvl","I",0,"BrDale","NoRMD","NoRMD","Twnhs","2Story",5,5,1971,"Gable","SS","HdBoard","HdBoard",1,492,3,3,"CB",3,3,1,3,300,1,225,525,"GasA",3,1,"SBrkr",525,567,0,1092,0,0,1,1,3,3,6,10,0,0,"Detchd",1997,1,1,3,2,0,0,0,0,0,0,0,"None","None",0,3,2010,"WD","NoRMDal",102143.243833333
160,"RLD",24,1368.598395,1,"None",0,"Lvl","FR2P",0,"NPkVill","Norm","Norm","Twnhs","2Story",6,6,1975,"Gable","SS","Plywood","Brk Cmn",0,0,3,3,"CB",3,3,1,5,514,1,341,855,"GasA",3,1,"SBrkr",855,601,0,1456,0,0,2,1,3,4,6,10,1,3,"Attchd",1975,1,2,3,2,173,0,0,0,0,0,0,"None","None",0,6,2010,"WD","Normal",151129.694633333
120,"RLD",24,20099.08844,1,"None",0,"Lvl","FR2P",0,"NPkVill","Norm","Norm","Twnhs","1Story",7,6,1975,"Gable","SS","Plywood","Brk Cmn",0,0,3,3,"CB",4,3,1,1,0,1,836,836,"GasA",5,1,"SBrkr",836,0,0,836,0,0,1,0,2,3,4,10,0,0,"Attchd",1975,1,1,3,2,0,30,0,0,0,0,0,"None","None",0,6,2010,"WD","Normal",141224.1968
60,"RLD",102,1416.313035,1,"None",1,"Lvl","I",0,"NridgHt","Norm","Norm","1Fam","2Story",9,5,2009,"Gable","SS","VinylSd","VinylSd",2,162,5,3,"PC",5,3,1,1,0,1,1590,1590,"GasA",5,1,"SBrkr",1627,707,0,2334,0,0,2,1,3,5,10,10,1,4,"Attchd",2009,3,3,3,2,144,133,0,0,0,0,0,"None","None",0,1,2010,"New","Partial",281140.2556
20,"RLD",94,12599.88468,1,"None",1,"Lvl","C",0,"NridgHt","Norm","Norm","1Fam","1Story",8,5,2009,"Gable","SS","VinylSd","VinylSd",2,256,4,3,"PC",4,3,1,1,0,1,1544,1544,"GasA",5,1,"SBrkr",1544,0,0,1544,0,0,2,0,3,4,7,10,0,0,"Attchd",2009,2,3,3,2,0,35,0,0,0,0,0,"None","None",0,6,2010,"New","Partial",246857.087033333
20,"RLD",90,11487.54769,1,"None",0,"Lvl","I",0,"NridgHt","PosN","Norm","1Fam","1Story",9,5,2005,"Hip","SS","VinylSd","VinylSd",1,615,4,3,"PC",5,3,1,6,110,1,1588,1698,"GasA",5,1,"SBrkr",1698,0,0,1698,0,0,2,0,3,5,7,10,1,4,"Attchd",2005,3,3,3,2,192,74,0,0,0,0,0,"None","None",0,6,2010,"WD","Normal",283078.946766667
20,"RLD",79,11344.26931,1,"None",1,"Lvl","I",0,"NridgHt","Norm","Norm","1Fam","1Story",8,5,2005,"Hip","SS","CemntBd","CmentBd",1,240,4,3,"PC",5,3,1,6,28,1,1794,1822,"GasA",5,1,"SBrkr",1822,0,0,1822,0,0,2,0,3,5,8,10,1,4,"Attchd",2005,2,3,3,2,0,119,0,0,0,0,0,"None","None",0,2,2010,"WD","Normal",272944.821466667
20,"RLD",110,11656.47093,1,"None",0,"HLS","I",1,"NridgHt","Norm","Norm","1Fam","1Story",9,5,2003,"Hip","SS","VinylSd","VinylSd",1,1095,5,3,"PC",5,3,4,6,1373,1,1473,2846,"GasA",5,1,"SBrkr",2696,0,0,2696,1,0,2,1,3,5,10,10,2,4,"Attchd",2003,3,3,3,2,220,150,0,0,0,0,0,"None","None",0,6,2010,"WD","Normal",292395.6792
60,"RLD",105,6097.421889,1,"None",0,"Lvl","C",0,"NridgHt","Norm","Norm","1Fam","2Story",8,5,2002,"Gable","SS","VinylSd","VinylSd",1,232,4,3,"PC",4,3,4,6,578,1,1093,1671,"GasA",5,1,"SBrkr",1687,563,0,2250,1,0,2,1,3,4,7,10,1,5,"Attchd",2002,3,3,3,2,238,130,0,0,0,0,0,"None","None",0,6,2010,"WD","Normal",277823.288266667
120,"RLD",41,11374.0187,1,"None",1,"Lvl","I",0,"NridgHt","Norm","Norm","TwnhsE","1Story",8,5,2006,"Gable","SS","VinylSd","VinylSd",2,178,4,3,"PC",4,3,2,6,24,1,1346,1370,"GasA",5,1,"SBrkr",1370,0,0,1370,0,0,2,0,2,4,6,10,1,4,"Attchd",2006,2,2,3,2,120,49,0,0,0,0,0,"None","None",0,4,2010,"WD","Normal",215134.624466667
20,"RLD",100,17046.28178,1,"None",1,"Lvl","C",0,"Gilbert","Norm","Norm","1Fam","1Story",6,5,2005,"Gable","SS","VinylSd","VinylSd",0,0,4,3,"PC",4,3,1,1,0,1,1324,1324,"GasA",5,1,"SBrkr",1324,0,0,1324,0,0,2,0,3,4,6,10,0,0,"Attchd",2005,3,2,3,2,36,23,0,0,0,0,0,"None","None",0,1,2010,"WD","Normal",179803.124766667
120,"RLD",43,2793.216769,1,"None",0,"Lvl","I",0,"Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2006,"Gable","SS","VinylSd","VinylSd",1,14,4,3,"PC",4,3,3,6,16,1,1129,1145,"GasA",5,1,"SBrkr",1145,0,0,1145,0,0,2,0,2,4,6,10,0,0,"Attchd",2006,3,2,3,2,100,116,0,0,0,0,0,"None","None",0,1,2010,"WD","Normal",169587.557333333
80,"RLD",67,10039.84035,1,"None",1,"Lvl","I",0,"Gilbert","Norm","Norm","1Fam","SLvl",7,5,2004,"Gable","SS","VinylSd","VinylSd",0,0,4,3,"PC",4,3,1,6,326,1,58,384,"GasA",5,1,"SBrkr",744,630,0,1374,1,0,2,1,3,4,7,10,1,4,"BuiltIn",2004,3,2,3,2,100,0,0,0,0,0,0,"None","None",0,6,2010,"WD","Normal",176842.3908
60,"RLD",63,14472.24192,1,"None",1,"Lvl","I",0,"Gilbert","Norm","Norm","1Fam","2Story",7,5,2004,"Gable","SS","VinylSd","VinylSd",0,0,4,3,"PC",4,3,1,1,0,1,847,847,"GasA",5,1,"SBrkr",847,886,0,1733,0,0,2,1,3,4,7,10,1,4,"BuiltIn",2004,3,2,3,2,144,48,0,0,0,0,0,"None","None",0,4,2010,"WD","Normal",204983.205166667
60,"RLD",60,2576.961923,1,"None",2,"Lvl","CulDSac",0,"NoRidge","Norm","Norm","1Fam","2Story",8,5,1998,"Hip","SS","VinylSd","VinylSd",1,114,4,3,"PC",5,3,1,1,0,1,1629,1629,"GasA",5,1,"SBrkr",1645,830,0,2475,0,0,2,1,4,4,7,10,1,3,"Attchd",1998,3,3,3,2,23,172,0,0,256,0,0,"None","None",0,1,2010,"WD","Normal",262140.215366667
20,"RLD",73,13053.48799,1,"None",0,"Lvl","I",0,"Somerst","Norm","Norm","1Fam","1Story",8,5,2005,"Gable","SS","VinylSd","VinylSd",1,226,4,3,"PC",4,3,1,1,0,1,1595,1595,"GasA",5,1,"SBrkr",1595,0,0,1595,0,0,2,0,2,4,6,10,1,4,"Attchd",2005,2,3,3,2,144,0,0,0,0,0,0,"None","None",0,5,2010,"WD","Normal",242131.670666667
20,"FVR",92,8081.247821,1,"None",0,"Lvl","I",0,"Somerst","Norm","Norm","1Fam","1Story",7,5,2009,"Hip","SS","VinylSd","VinylSd",0,0,4,3,"PC",4,3,1,1,0,1,1218,1218,"GasA",5,1,"SBrkr",1218,0,0,1218,0,0,2,0,2,4,4,10,0,0,"Attchd",2009,2,2,3,2,0,136,0,0,0,0,0,"None","None",0,4,2010,"New","Partial",204670.032266667
20,"FVR",84,15013.35224,1,"None",0,"Lvl","C",0,"Somerst","Norm","Norm","1Fam","1Story",6,5,2005,"Gable","SS","VinylSd","VinylSd",0,0,4,3,"PC",5,3,1,6,1414,1,54,1468,"GasA",5,1,"SBrkr",1468,0,0,1468,1,0,2,0,2,4,6,10,1,4,"Attchd",2005,3,2,3,2,0,102,0,0,216,0,0,"None","None",0,5,2010,"WD","Normal",212073.374733333
60,"RLD",70,3579.780904,1,"None",0,"Lvl","I",0,"SawyerW","Norm","Norm","1Fam","2Story",7,5,2004,"Gable","SS","VinylSd","VinylSd",1,122,4,3,"PC",4,3,3,1,0,1,831,831,"GasA",5,1,"SBrkr",831,828,0,1659,0,0,2,1,3,4,8,10,0,0,"Attchd",2004,2,2,3,2,144,68,0,0,0,0,0,"None","None",0,4,2010,"WD","Normal",185775.893266667
30,"RHD",70,5269.230243,1,"None",0,"Lvl","C",0,"SawyerW","Feedr","Norm","1Fam","1Story",5,5,1920,"Gable","SS","Wd Sdng","Wd Sdng",0,0,3,2,"BT",3,3,1,1,0,1,816,816,"GasA",3,0,"FuseA",1012,0,0,1012,0,0,1,0,2,3,5,10,0,0,"Detchd",1920,1,1,3,2,121,0,80,0,0,0,0,"None","None",0,4,2010,"WD","Normal",104337.842766667
20,"RLD",39,10696.59369,1,"None",1,"Lvl","CulDSac",0,"Sawyer","RRNe","Norm","1Fam","1Story",6,6,1974,"Hip","SS","Plywood","Plywood",0,250,3,4,"CB",3,3,4,4,126,6,223,1208,"GasA",5,1,"SBrkr",1494,0,0,1494,1,0,2,0,3,3,7,10,2,2,"Attchd",1974,3,2,3,2,296,0,186,0,0,0,0,"GdPrv","None",0,4,2010,"WD","Abnorml",165683.624666667
60,"RLD",85,13281.5017,1,"None",1,"Lvl","I",0,"NoRidge","Norm","Norm","1Fam","2Story",8,5,1993,"Gable","SS","HdBoard","ImStucc",1,504,4,3,"PC",4,3,1,2,250,6,0,1231,"GasA",5,1,"SBrkr",1251,1098,0,2349,1,0,2,1,4,4,9,10,1,3,"Attchd",1993,2,3,3,2,32,130,0,0,0,0,0,"None","None",0,6,2010,"WD","Normal",277873.944533333
60,"RLD",88,11244.83235,1,"None",0,"Lvl","I",0,"NoRidge","Norm","Norm","1Fam","2Story",8,5,1992,"Gable","SS","HdBoard","HdBoard",1,180,4,3,"PC",4,3,1,6,1129,1,261,1390,"GasA",5,1,"SBrkr",1402,823,0,2225,1,0,2,1,4,4,7,10,1,3,"Attchd",1992,2,3,3,2,198,30,0,0,0,0,0,"None","None",0,6,2010,"WD","Normal",280534.927333333
120,"FVR",25,4865.563391,1,"None",1,"Lvl","CulDSac",0,"Somerst","Norm","Norm","TwnhsE","1Story",7,5,2004,"Gable","SS","MetalSd","MetalSd",0,0,4,3,"PC",5,3,3,6,1298,1,190,1488,"GasA",5,1,"SBrkr",1488,0,0,1488,1,0,2,0,2,4,6,10,1,4,"Attchd",2004,3,2,3,2,168,50,0,0,0,0,0,"None","None",0,3,2010,"WD","Normal",229991.808833333
160,"FVR",39,7980.722834,1,"Paved",0,"Lvl","I",0,"Somerst","Norm","Norm","TwnhsE","2Story",7,5,2004,"Gable","SS","VinylSd","VinylSd",0,0,4,3,"PC",4,3,1,1,0,1,840,840,"GasA",5,1,"SBrkr",840,840,0,1680,0,0,2,1,2,4,3,10,0,0,"Attchd",2004,2,2,3,2,0,111,0,0,0,0,0,"None","None",0,1,2010,"WD","Normal",189448.071833333
160,"FVR",30,9266.044744,1,"Paved",0,"Lvl","I",0,"Somerst","Norm","Norm","TwnhsE","2Story",7,5,2004,"Gable","SS","MetalSd","MetalSd",1,120,4,3,"PC",4,3,3,6,280,1,320,600,"GasA",5,1,"SBrkr",600,600,0,1200,0,0,2,1,2,4,4,10,0,0,"Detchd",2004,2,2,3,2,0,172,0,0,0,0,0,"None","None",0,4,2010,"ConLD","Normal",161008.286966667
160,"FVR",24,17542.22878,1,"Paved",0,"Lvl","I",0,"Somerst","Norm","Norm","Twnhs","2Story",7,5,2004,"Gable","SS","MetalSd","MetalSd",0,0,4,3,"PC",4,3,1,6,368,5,190,600,"GasA",5,1,"SBrkr",600,600,0,1200,1,0,2,1,2,4,4,10,0,0,"Detchd",2004,2,2,3,2,0,172,0,0,0,0,0,"None","None",0,2,2010,"WD","Normal",162662.171933333
160,"FVR",24,8434.840819,1,"Paved",0,"Lvl","I",0,"Somerst","Norm","Norm","Twnhs","2Story",6,5,2005,"Gable","SS","VinylSd","VinylSd",1,216,4,3,"PC",4,3,1,6,376,1,224,600,"GasA",5,1,"SBrkr",600,636,0,1236,1,0,2,1,2,4,4,10,0,0,"Detchd",2005,2,2,3,2,0,166,0,0,0,0,0,"None","None",0,5,2010,"WD","Normal",166859.863766667
160,"FVR",72,4707.477941,1,"None",0,"Lvl","C",0,"Somerst","Norm","Norm","TwnhsE","2Story",6,5,2000,"Gable","SS","MetalSd","MetalSd",1,1159,4,3,"PC",4,3,1,6,466,1,290,756,"GasA",5,1,"SBrkr",756,756,0,1512,1,0,2,1,2,4,5,10,0,0,"Detchd",2000,1,2,3,2,0,32,0,0,0,0,0,"None","None",0,5,2010,"WD","Normal",173804.617033333
160,"FVR",72,4746.594513,1,"None",1,"Lvl","FR2P",0,"Somerst","Norm","Norm","TwnhsE","2Story",7,5,2003,"Gable","SS","VinylSd","VinylSd",0,0,4,3,"PC",4,3,1,6,244,1,286,530,"GasA",5,1,"SBrkr",530,550,0,1080,0,0,2,1,2,4,4,10,0,0,"Attchd",2003,2,2,3,2,0,50,0,0,0,0,0,"None","None",0,6,2010,"WD","Normal",161587.1946
20,"FVR",57,10889.5101,1,"Paved",1,"Lvl","I",0,"Somerst","Norm","Norm","1Fam","1Story",8,5,2010,"Gable","SS","CemntBd","CmentBd",0,0,4,3,"PC",5,1,1,6,1032,1,610,1642,"GasA",5,1,"SBrkr",1418,0,0,1418,1,0,1,1,1,4,6,10,1,4,"Attchd",2010,2,3,3,2,160,192,0,224,0,0,0,"None","None",0,4,2010,"New","Partial",240620.6882
60,"FVR",68,13455.02177,1,"None",1,"Lvl","I",0,"Somerst","Norm","Norm","1Fam","2Story",8,5,2000,"Gable","SS","VinylSd","VinylSd",0,0,4,3,"PC",4,3,1,6,484,1,491,975,"GasA",5,1,"SBrkr",975,873,0,1848,1,0,2,1,3,4,7,10,1,3,"Attchd",2000,2,2,3,2,280,184,0,0,0,0,0,"None","None",0,4,2010,"WD","Normal",233588.697833333
20,"FVR",80,492.9561633,1,"None",0,"Lvl","I",0,"Somerst","Norm","Norm","1Fam","1Story",7,5,2002,"Gable","SS","VinylSd","VinylSd",0,0,4,3,"PC",4,3,1,6,833,1,659,1492,"GasA",5,1,"SBrkr",1492,0,0,1492,1,0,2,0,3,4,6,10,1,4,"Attchd",2002,2,2,3,2,277,137,0,0,0,0,0,"None","None",0,4,2010,"WD","Normal",223225.764966667
20,"RLD",80,10866.20411,1,"None",1,"Lvl","I",0,"NWAmes","Norm","Norm","1Fam","1Story",6,6,1967,"Hip","SS","HdBoard","HdBoard",1,120,3,3,"CB",3,3,1,6,506,1,1323,1829,"GasA",4,1,"SBrkr",1829,0,0,1829,1,0,2,0,4,3,8,10,0,0,"Attchd",1967,2,2,3,2,0,76,0,0,0,0,0,"None","None",0,5,2010,"WD","Normal",189318.704833333
60,"RLD",80,10722.88523,1,"None",0,"Lvl","I",0,"NWAmes","Norm","Norm","1Fam","2Story",6,5,1993,"Gable","SS","MetalSd","MetalSd",0,0,3,3,"PC",4,3,2,6,1137,1,143,1280,"GasA",5,1,"SBrkr",1280,1215,0,2495,1,0,2,1,4,4,9,10,1,3,"Attchd",1993,1,2,3,2,224,32,0,0,0,0,0,"None","None",0,3,2010,"WD","Normal",232519.216366667
50,"RLD",80,4867.462398,1,"None",1,"Lvl","I",0,"NWAmes","Norm","Norm","1Fam","1.5Fin",6,5,1978,"Gable","SS","MetalSd","MetalSd",0,0,3,3,"PC",4,3,2,5,687,2,491,1224,"GasA",3,1,"SBrkr",1287,604,0,1891,0,1,3,0,3,3,7,10,1,3,"Attchd",1978,2,2,3,2,0,69,0,0,0,0,0,"None","None",0,4,2010,"WD","Normal",186034.866066667
60,"RLD",80,4419.456191,1,"None",0,"Lvl","I",0,"NWAmes","Norm","Norm","1Fam","2Story",6,6,1971,"Gable","SS","MetalSd","MetalSd",0,0,3,3,"CB",3,3,1,5,329,1,386,715,"GasA",3,1,"SBrkr",930,715,0,1645,0,0,1,2,4,3,7,10,0,0,"Attchd",1971,2,2,3,2,0,78,0,0,0,0,0,"GdWo","None",0,6,2010,"WD","Normal",163624.425933333
20,"RLD",80,15467.81436,1,"None",0,"Lvl","I",0,"NAmes","Norm","Norm","1Fam","1Story",5,5,1966,"Hip","SS","VinylSd","VinylSd",1,172,3,3,"CB",3,3,1,3,698,1,534,1232,"GasA",3,1,"SBrkr",1232,0,0,1232,1,0,1,1,3,3,6,10,0,0,"Attchd",1966,2,2,3,2,0,224,0,0,0,0,0,"None","None",0,4,2010,"WD","Normal",151696.712333333
20,"RLD",90,5649.872985,1,"None",0,"Lvl","C",0,"NAmes","Norm","Norm","1Fam","1Story",5,5,1966,"Hip","SS","HdBoard","HdBoard",0,0,3,3,"PC",4,3,1,4,1059,1,150,1209,"GasA",4,1,"SBrkr",1209,0,0,1209,1,0,1,0,3,3,6,10,0,0,"Attchd",1966,2,2,3,2,0,0,120,0,0,0,0,"None","None",0,4,2010,"ConLD","Normal",148661.692366667
20,"RLD",88,12240.39979,1,"None",0,"Lvl","I",0,"NAmes","Norm","Norm","1Fam","1Story",5,6,1967,"Gable","SS","Wd Sdng","Plywood",1,268,3,3,"CB",3,3,1,4,1010,1,500,1510,"GasA",5,1,"SBrkr",1510,0,0,1510,1,0,2,0,3,4,6,10,0,0,"Attchd",1967,2,2,3,2,0,40,0,0,204,0,0,"GdPrv","None",0,4,2010,"WD","Normal",166716.731
80,"RLD",73,15403.80808,1,"Paved",1,"Lvl","I",0,"NAmes","Norm","Norm","1Fam","SLvl",6,5,1964,"Gable","SS","HdBoard","HdBoard",0,0,3,3,"CB",3,3,1,1,0,1,533,533,"GasA",3,1,"SBrkr",1131,644,0,1775,0,0,2,0,3,3,8,10,0,0,"Attchd",1964,1,2,3,2,0,172,0,0,0,0,0,"None","None",0,5,2010,"COD","Family",149028.381166667
90,"RLD",98,18145.41879,1,"None",1,"Lvl","I",0,"NAmes","Norm","Norm","Duplex","1Story",5,6,1962,"Hip","SS","HdBoard","HdBoard",1,144,3,3,"CB",3,3,1,4,1500,1,228,1728,"GasA",3,1,"SBrkr",1728,0,0,1728,2,0,2,0,6,3,10,10,0,0,"No Garage",1962,0,0,0,2,0,0,0,0,0,0,0,"None","None",0,1,2010,"Oth","Abnorml",150217.268666667
50,"RLD",68,13800.13299,1,"None",0,"Lvl","I",0,"NAmes","Norm","Norm","1Fam","1.5Fin",5,7,1952,"Gable","SS","MetalSd","MetalSd",1,265,4,3,"CB",3,3,1,2,670,1,470,1140,"GasA",4,1,"SBrkr",1929,532,0,2461,0,0,2,0,3,3,7,5,2,4,"Detchd",1994,1,2,3,2,0,0,0,0,0,0,0,"GdWo","None",0,3,2010,"WD","Normal",188381.7994
50,"RLD",120,6441.827821,1,"None",0,"Lvl","C",0,"NAmes","Artery","Norm","1Fam","1.5Fin",6,6,1949,"Gable","SS","MetalSd","MetalSd",2,340,3,4,"CB",3,3,1,3,300,1,482,782,"GasA",3,1,"SBrkr",1019,537,0,1556,0,0,2,0,3,3,6,10,1,4,"Attchd",1949,1,2,3,2,0,0,150,0,0,0,0,"None","None",0,1,2010,"WD","Normal",148063.0436
85,"RLD",75,867.6728888,1,"None",1,"Lvl","I",0,"NAmes","Norm","Norm","1Fam","SFoyer",6,8,1966,"Gable","SS","HdBoard","HdBoard",1,216,3,3,"CB",3,3,4,6,944,1,136,1080,"GasA",4,1,"SBrkr",1128,0,0,1128,1,0,1,0,2,4,5,10,1,4,"Attchd",1966,1,1,3,2,238,0,0,0,0,0,0,"None","Shed",1500,1,2010,"WD","Normal",147529.1937
90,"RLD",70,15953.72469,1,"None",0,"Lvl","C",0,"NAmes","Feedr","Norm","Duplex","1Story",5,5,1958,"Gable","SS","HdBoard","HdBoard",0,0,3,3,"CB",3,3,1,1,0,1,1604,1604,"GasA",3,1,"SBrkr",1604,0,0,1604,0,0,2,0,4,3,8,10,0,0,"Attchd",1958,1,2,3,2,42,0,0,0,0,0,0,"None","None",0,3,2010,"WD","Normal",137500.100633333
